pddikti_institution_code,institution_name,ownership,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
306,STT POKOK ANGGUR JAKARTA,-1,jalan kerajinan 5 jakarta barat,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,"{""website"": ""sttpa.ac.id"", ""email"": ""info@sttpa.ac.id"", ""phone"": ""021-4200436""}",1500000,1000000,2000000,3000000,2000000,4000000,-1,-1,-1,-1,-1
307,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER PGRI ARUNGBINANG KEBUMEN,-1,-,KAB. KEBUMEN,PROV. JAWA TENGAH,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",2850000,2850000,2850000,5700000,5700000,5700000,-1,-1,-1,-1,-1
308,INSTITUT ALIF MUHAMMAD IMAM SYAFI'I,-1,-,KAB. LAMONGAN,PROV. JAWA TIMUR,"{""website"": ""inamislamongan.ac.id"", ""email"": ""inamislamongan@gmail.com"", ""phone"": ""081333125191""}",2100000,2100000,2100000,4200000,4200000,4200000,-1,-1,-1,-1,-1
309,SEKOLAH TINGGI TEOLOGI INJILI INDONESIA SAMARINDA,-1,Jl. Ir. Haji Juanda I. RT. 20. No. 2A. Samarinda-Kalimantan Timur,KOTA SAMARINDA,PROV. KALIMANTAN TIMUR,"{""website"": ""www.sttii-samarinda.ac.id"", ""email"": ""sttiisamarinda510@gmail.com"", ""phone"": ""081346243355""}",3000000,3000000,3000000,6000000,6000000,6000000,-1,-1,-1,-1,-1
310,DEAKIN UNIVERSITY,-1,-,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
311,STIT SIROJUL FALAH BOGOR,-1,Jl. Raya Pemda Kaum Pandak Rt.004/003 Kel. Karadenan Kec. Cibinong Kab. Bogor,KAB. BOGOR,PROV. JAWA BARAT,"{""website"": ""www.stitsifabogor.ac.id"", ""email"": ""admin@stitsifabogor.ac.id"", ""phone"": ""7501315 / 7501315""}",3750000,2500000,5000000,7500000,5000000,10000000,-1,-1,-1,-1,-1
312,STIT AS-SALAMA TUAL MALUKU TENGGARA  MALUKU,-1,Jln. Kampus As-Salama Kota Tual,KOTA. TUAL,PROV. MALUKU,"{""website"": ""stitassalamatual.blogspot.com"", ""email"": ""sitit.assalama@yahoo.com"", ""phone"": ""081344152488 / 091624183""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
313,AKADEMI KOMUNITAS KEBUN ANOM,-1,-,KAB. JEMBER,PROV. JAWA TIMUR,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
314,UNIVERSITAS NURUL JADID,-1,PP Nurul Jadid Pox Box 1  Karanganyar  Paiton,KAB. PROBOLINGGO,PROV. JAWA TIMUR,"{""website"": ""https://www.unuja.ac.id"", ""email"": ""unuja@unuja.ac.id"", ""phone"": ""08883077077 / 08883077077""}",1000,1000,1000,2000,2000,2000,-1,-1,-1,-1,-1
315,AKADEMI KEBIDANAN PRIMA HUSADA,-1,Jl. Brigdjen H Saptadji No. 19 Cilendek Barat Kota Bogor,KOTA BOGOR,PROV. JAWA BARAT,"{""website"": ""akbidprimahusada.ac.id"", ""email"": ""akbidprima@yahoo.com"", ""phone"": ""02518319922 / 02518339966""}",6500000,6500000,6500000,13000000,13000000,13000000,-1,-1,-1,-1,-1
316,SEKOLAH TINGGI ILMU HUKUM SOELTHAN M TSJAFIOEDDIN,-1,Jl Soelthan M Tsjafioeddin No 29,KOTA SINGKAWANG,PROV. KALIMANTAN BARAT,"{""website"": ""stihsmt.ac.id"", ""email"": ""stih.singkawang@gmail.com"", ""phone"": ""081256494135 / 0562-631926""}",3750000,3500000,4000000,7500000,7000000,8000000,-1,-1,-1,-1,-1
317,UNIVERSITAS SUBANG,-1,Jalan RA Kartini KM 3 Subang,KAB. SUBANG,PROV. JAWA BARAT,"{""website"": ""www.unsub.ac.id"", ""email"": ""info@unsub.ac.id"", ""phone"": ""02604240927 / 02604240927""}",2600000,200000,5000000,5200000,400000,10000000,-1,-1,-1,-1,-1
318,STMIK ANTAR BANGSA,-1,Jl. Raden Fattah No. 70A  Pondok Aren,KOTA TANGERANG,PROV. BANTEN,"{""website"": ""antarbangsa.ac.id"", ""email"": ""info@antarbangsa.ac.id"", ""phone"": ""50986099""}",2550000,1000000,4100000,5100000,2000000,8200000,-1,-1,-1,-1,-1
319,POLITEKNIK KEBANGSAAN,-1,-,KOTA GORONTALO,PROV. GORONTALO,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
320,STIKES KUSUMA BANGSA,-1,Jl. Pariwisata No. 48,KOTA MATARAM,PROV. NUSA TENGGARA BARAT,"{""website"": ""www.kusumabangsa.ac.id"", ""email"": ""kusumabangsaaaa@gmail.com"", ""phone"": ""7847342""}",7150000,5825000,8475000,14300000,11650000,16950000,-1,-1,-1,-1,-1
321,UNIVERSITAS NUSANTARA PGRI KEDIRI,-1,Jl KH Achmad Dahlan 76 Mojoroto,KOTA KEDIRI,PROV. JAWA TIMUR,"{""website"": ""www.unpkediri.ac.id"", ""email"": ""admin@unpkediri.ac.id"", ""phone"": ""771503  771576 / 771503  771576""}",3900000,600000,7200000,7800000,1200000,14400000,-1,-1,-1,-1,-1
322,SEKOLAH TINGGI ILMU EKONOMI WILWATIKTA,-1,Kebonsari Baru Selatan  Kebonsari,KOTA SURABAYA,PROV. JAWA TIMUR,"{""website"": ""stie.wilwatiktaa.ac.id"", ""email"": ""stie.wilwatikta@gmail.com"", ""phone"": ""081232890611""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
323,STAI PENGEMBANGAN ILMU AL-QUR`ANKOTA PADANG  SUMATERA BARAT,-1,Jl. Dr. H. Abdullah Ahmad No. 2 Padang  Sumatera Barat - Indonesia,KOTA PADANG,PROV. SUMATERA BARAT,"{""website"": ""https://www.staipiq.ac.id"", ""email"": ""info@staipiq.ac.id"", ""phone"": ""0751-27311 / 0751-841870""}",1800000,1200000,2400000,3600000,2400000,4800000,-1,-1,-1,-1,-1
324,AKADEMI KEBIDANAN BUDI MULIA,-1,Jl. Wali Songo Rt. 03 Kel. Kenali Besar  Kec. Kotabaru   Jambi,KOTA JAMBI,PROV. JAMBI,"{""website"": ""http://budimulia.ac.id"", ""email"": ""akbidbudimuliajambi@yahoo.co.id"", ""phone"": ""081366828846""}",30250000,5500000,55000000,60500000,11000000,110000000,-1,-1,-1,-1,-1
325,AKADEMI KEBIDANAN MENARA PRIMADANI,-1,Soppeng,KAB. SOPPENG,PROV. SULAWESI SELATAN,"{""website"": ""akbidmps.ac.id"", ""email"": ""akbid_primadanisoppeng@yahoo.co.id"", ""phone"": ""085251691864""}",2400000,2400000,2400000,4800000,4800000,4800000,-1,-1,-1,-1,-1
326,INSTITUT AGAMA ISLAM NEGERI BONE,-1,Jl. Hos Cokroaminoto Watampone  Kab. Bone  Propinsi Sulawesi Selatan,KAB. BONE,PROV. SULAWESI SELATAN,"{""website"": ""iain-bone.ac.id"", ""email"": ""info@iain-bone.ac.id"", ""phone"": """"}",5100000,200000,10000000,10200000,400000,20000000,-1,-1,-1,-1,-1
